,gender,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus
0,M,Y,Y,0,427500,Working,Higher education,Civil marriage,Rented apartment,Not identified,2,33,12,1,1
31,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,59,3,1,1
61,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,53,8,1,1
137,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,Not identified,1,62,0,0,0
188,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,47,2,1,0
237,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,49,3,1,1
254,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,49,3,1,0
281,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,Accountants,2,30,3,1,0
307,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,Accountants,2,30,3,1,1
768419,M,Y,Y,0,180000,Pensioner,Higher education,Married,House / apartment,Not identified,2,52,0,0,1
337,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,28,4,1,1
369,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,28,4,1,0
424,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,2,31,4,1,1
486,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,5,35,3,1,1
520,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Managers,3,33,5,1,0
565,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Managers,3,33,5,1,1
665,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,57,12,1,0
743,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,57,12,1,1
810,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,44,8,1,0
812,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,44,8,1,1
917,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,3,45,19,1,0
954,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,46,14,1,0
965,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Managers,4,34,4,1,1
1117,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Managers,4,34,4,1,0
1230,F,N,Y,0,315000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,56,0,0,1
1271,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1,47,3,1,0
1294,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,1,43,8,1,1
1533,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,1,43,8,1,0
2034,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2,38,13,1,0
2050,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2,38,13,1,1
2113,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,43,3,1,1
2153,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,29,7,1,1
2273,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,29,7,1,0
2279,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,49,4,1,0
2284,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,49,4,1,1
2479,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,44,2,1,0
2527,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,62,0,0,0
2600,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,62,0,0,1
2689,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Drivers,2,58,6,1,1
2810,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,1,46,3,1,0
2839,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,1,46,3,1,1
