,gender,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus
2923,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Managers,2,30,2,1,1
2931,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,28,2,1,1
2954,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,52,17,1,0
3022,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,52,17,1,1
3035,F,N,Y,2,216000,State servant,Higher education,Married,House / apartment,Not identified,4,43,8,1,1
3073,F,N,Y,2,216000,State servant,Higher education,Married,House / apartment,Not identified,4,43,8,1,0
3250,F,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,55,29,1,0
3301,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,40,7,1,0
3312,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,40,7,1,1
3328,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,29,3,1,1
3356,F,N,N,0,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Not identified,2,52,0,0,1
3373,F,N,N,0,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Not identified,2,52,0,0,0
3449,F,N,Y,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,3,40,1,1,1
3462,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Core staff,2,49,2,1,1
3483,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Core staff,2,49,2,1,0
3552,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,Core staff,4,31,6,1,1
3566,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,Core staff,4,31,6,1,0
3685,M,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,25,2,1,0
3705,F,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff,1,21,2,1,1
3706,F,N,Y,0,94500,Pensioner,Higher education,Married,House / apartment,Not identified,2,62,0,0,0
3710,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,2,29,5,1,1
3792,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,2,29,5,1,0
3910,F,Y,Y,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,High skill tech staff,2,29,8,1,1
3955,F,Y,Y,1,450000,State servant,Higher education,Married,House / apartment,Core staff,3,49,1,1,0
4002,M,N,Y,1,180000,Working,Secondary / secondary special,Married,With parents,Drivers,3,39,3,1,1
4033,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,Laborers,2,28,8,1,1
4077,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,Laborers,2,28,8,1,0
4110,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,57,15,1,1
4158,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,57,15,1,0
4161,M,Y,N,2,202500,Commercial associate,Higher education,Married,House / apartment,Laborers,4,41,8,1,0
4242,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,35,11,1,0
4256,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,Managers,3,34,3,1,0
4268,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,38,12,1,1
4293,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,38,12,1,0
4326,F,N,Y,0,315000,Working,Higher education,Separated,House / apartment,Managers,1,37,1,1,1
4383,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,Drivers,4,36,11,1,1
4568,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,42,7,1,0
4576,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,42,7,1,1
4597,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2,25,0,1,0
4601,F,N,N,0,157500,Commercial associate,Higher education,Separated,With parents,Not identified,1,44,1,1,1
4904,M,N,Y,0,382500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,60,0,0,1
4938,M,N,Y,0,382500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,60,0,0,0
5010,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,2,27,4,1,1
5044,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,2,27,4,1,0
5056,M,Y,N,0,225000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,51,0,0,0
5079,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,Managers,2,44,10,1,1
5154,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,Managers,2,44,10,1,0
5180,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,54,7,1,1
5582,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,36,8,1,0
5663,F,Y,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,0
5677,M,Y,N,0,229500,Working,Incomplete higher,Married,Co-op apartment,Laborers,2,51,3,1,0
5762,M,Y,N,0,229500,Working,Incomplete higher,Married,Co-op apartment,Laborers,2,51,3,1,1
5894,F,N,N,0,270000,Working,Higher education,Married,House / apartment,Managers,2,49,15,1,0
5938,F,N,N,0,270000,Working,Higher education,Married,House / apartment,Managers,2,49,15,1,1
6042,F,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,58,23,1,0
6057,F,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,58,23,1,1
6278,F,N,N,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,34,2,1,1
6359,F,N,N,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,34,2,1,0
6373,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Managers,2,41,2,1,1
6401,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Managers,2,41,2,1,0
6767,M,Y,N,0,157500,Working,Incomplete higher,Married,With parents,Drivers,2,30,2,1,1
6848,F,N,N,0,74250,Working,Higher education,Separated,Municipal apartment,Core staff,1,53,14,1,1
6883,F,N,N,0,74250,Working,Higher education,Separated,Municipal apartment,Core staff,1,53,14,1,0
6900,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,39,5,1,1
6969,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,28,2,1,1
7069,F,N,N,0,144000,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,1,44,24,1,0
7092,F,N,N,0,202500,State servant,Higher education,Married,With parents,Core staff,2,40,3,1,1
7143,F,N,N,0,202500,State servant,Higher education,Married,With parents,Core staff,2,40,3,1,0
7160,F,N,N,0,40500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,58,0,0,0
7172,M,Y,N,0,337500,State servant,Higher education,Married,With parents,Managers,2,29,4,1,1
7208,M,Y,N,0,337500,State servant,Higher education,Married,With parents,Managers,2,29,4,1,0
7304,M,N,N,0,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,2,41,6,1,0
7430,M,N,N,0,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,2,41,6,1,1
7503,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,2,42,13,1,1
7524,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,2,42,13,1,0
7924,F,N,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1
7958,F,N,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0
7960,F,N,N,0,193500,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,1,45,5,1,0
8039,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,1
8065,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,0
8149,F,Y,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,0
8205,F,Y,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,1
8499,M,Y,N,0,267750,Working,Higher education,Married,House / apartment,Laborers,2,58,12,1,1
8534,M,Y,N,0,267750,Working,Higher education,Married,House / apartment,Laborers,2,58,12,1,0
8628,F,N,N,0,139500,Working,Higher education,Separated,House / apartment,Managers,1,45,19,1,1
8638,F,N,N,0,139500,Working,Higher education,Separated,House / apartment,Managers,1,45,19,1,0
8672,M,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,52,14,1,0
8698,M,Y,N,0,252000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,30,6,1,0
8876,M,N,N,0,180000,Commercial associate,Lower secondary,Married,House / apartment,Drivers,2,58,0,1,1
8913,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,54,14,1,0
8939,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,54,14,1,1
8965,F,Y,N,0,900000,Working,Higher education,Single / not married,House / apartment,Managers,1,53,20,1,0
8990,M,Y,N,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,2,41,1,1,1
9011,M,Y,N,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,2,41,1,1,0
9173,M,Y,N,0,115290,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,1
9187,M,Y,N,0,115290,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,0
9241,F,N,N,2,225000,Working,Higher education,Married,House / apartment,Core staff,4,31,4,1,1
9281,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,26,3,1,0
9310,F,N,N,0,450000,State servant,Higher education,Married,House / apartment,Managers,2,41,15,1,0
9375,F,N,N,0,450000,State servant,Higher education,Married,House / apartment,Managers,2,41,15,1,1
9389,M,N,N,0,279000,State servant,Higher education,Single / not married,House / apartment,Core staff,1,31,8,1,0
9477,M,N,N,0,279000,State servant,Higher education,Single / not married,House / apartment,Core staff,1,31,8,1,1
9527,F,N,N,1,76500,Working,Higher education,Civil marriage,House / apartment,Accountants,3,35,1,1,1
9843,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,57,0,1,0
9851,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,57,0,1,1
9896,F,N,N,2,67500,Commercial associate,Higher education,Married,House / apartment,Core staff,4,29,1,1,0
9904,M,N,N,0,234000,Working,Incomplete higher,Married,House / apartment,Drivers,2,39,6,1,1
10063,F,N,N,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,53,1,1,0
10071,F,N,N,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,53,1,1,1
10116,F,N,N,0,81000,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,2,54,2,1,0
10126,M,N,N,0,108000,Working,Secondary / secondary special,Single / not married,Co-op apartment,Cooking staff,1,23,3,1,1
10153,M,N,N,0,108000,Working,Secondary / secondary special,Single / not married,Co-op apartment,Cooking staff,1,23,3,1,0
10172,M,N,N,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,55,0,0,0
10185,M,N,N,0,198000,Working,Secondary / secondary special,Single / not married,With parents,Laborers,1,24,3,1,0
10203,M,Y,N,0,360000,State servant,Higher education,Married,Municipal apartment,Drivers,2,41,3,1,1
10217,F,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,55,0,0,1
10251,F,N,N,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,65,0,0,1
10255,F,N,N,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,65,0,0,0
10275,F,N,N,0,90000,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,26,4,1,0
10305,F,Y,N,0,270000,Commercial associate,Incomplete higher,Civil marriage,House / apartment,Not identified,2,38,2,1,0
10322,M,Y,N,0,81000,Working,Secondary / secondary special,Married,With parents,Drivers,2,40,9,1,0
10330,M,Y,N,0,81000,Working,Secondary / secondary special,Married,With parents,Drivers,2,40,9,1,1
10343,F,N,N,0,202500,State servant,Higher education,Married,House / apartment,Laborers,2,48,3,1,1
10412,F,N,N,0,202500,State servant,Higher education,Married,House / apartment,Laborers,2,48,3,1,0
10595,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,54,27,1,0
10614,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,54,27,1,1
10829,F,N,N,0,180000,Commercial associate,Higher education,Married,House / apartment,Not identified,2,37,12,1,0
768457,F,N,N,0,180000,Commercial associate,Higher education,Married,House / apartment,Not identified,2,37,12,1,1
10858,F,N,N,0,135000,Working,Secondary / secondary special,Married,Municipal apartment,Cooking staff,2,34,2,1,1
10887,F,N,N,2,135000,Working,Secondary / secondary special,Married,House / apartment,Not identified,4,27,7,1,1
11057,M,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,45,17,1,0
11097,M,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,45,17,1,1
11137,M,Y,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,33,3,1,1
11184,M,Y,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,33,3,1,0
11391,F,N,N,0,202500,Working,Higher education,Married,House / apartment,Core staff,2,45,13,1,0
11403,F,N,N,0,202500,Working,Higher education,Married,House / apartment,Core staff,2,45,13,1,1
11462,F,N,N,0,157500,Working,Incomplete higher,Married,House / apartment,Core staff,2,47,7,1,1
11485,F,N,N,0,157500,Working,Incomplete higher,Married,House / apartment,Core staff,2,47,7,1,0
11597,M,Y,N,2,180000,Working,Incomplete higher,Married,House / apartment,Laborers,4,35,5,1,0
11601,M,Y,N,2,180000,Working,Incomplete higher,Married,House / apartment,Laborers,4,35,5,1,1
11635,M,Y,N,1,112500,Working,Secondary / secondary special,Separated,Co-op apartment,Laborers,2,33,3,1,0
11667,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,38,2,1,1
11684,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,38,2,1,0
11839,M,Y,N,0,216000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,43,2,1,1
11855,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,43,4,1,1
11946,F,N,N,0,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,52,26,1,1
11982,F,N,N,0,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,52,26,1,0
12376,F,N,N,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,56,0,0,1
12388,F,N,N,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,56,0,0,0
12411,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,42,8,1,1
12461,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,42,8,1,0
12691,F,Y,N,0,315000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,47,2,1,1
12715,F,Y,N,0,315000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,47,2,1,0
12725,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,1
12749,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,0
12816,F,N,N,0,90000,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1,32,1,1,1
12885,F,N,N,0,45000,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1,40,2,1,0
12928,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,24,5,1,0
12944,F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,Not identified,1,65,0,0,1
12956,F,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,48,2,1,0
13009,F,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,48,2,1,1
13114,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,37,7,1,1
13157,F,N,N,1,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,36,10,1,0
13207,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,4,34,2,1,0
13231,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,4,34,2,1,1
13394,M,Y,N,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,48,0,0,1
13421,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,53,0,1,1
13505,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,53,0,1,0
13553,F,N,N,0,238500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,9,1,1
13592,F,N,N,0,238500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,9,1,0
13733,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,28,5,1,1
13774,M,Y,N,1,144000,Working,Incomplete higher,Married,House / apartment,Drivers,3,28,0,1,0
13808,F,N,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,1
13870,F,N,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,0
13923,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Single / not married,With parents,Not identified,1,24,2,1,1
13925,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Single / not married,With parents,Not identified,1,24,2,1,0
13951,M,N,N,0,117000,Working,Secondary / secondary special,Single / not married,House / apartment,Low-skill Laborers,1,41,10,1,1
14020,F,N,N,0,135000,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,52,29,1,1
14081,F,N,N,0,135000,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,52,29,1,0
14254,M,N,N,0,225000,Working,Higher education,Single / not married,House / apartment,Not identified,1,28,4,1,1
14376,F,N,N,0,126000,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,53,0,0,1
14461,F,N,N,0,126000,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,53,0,0,0
14475,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Core staff,2,44,1,1,0
14491,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,60,0,0,1
14924,F,N,N,0,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,64,0,0,1
14965,F,N,N,0,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,64,0,0,0
15027,M,Y,N,0,1350000,Commercial associate,Higher education,Married,Municipal apartment,Managers,2,36,4,1,0
15129,F,N,N,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0
15137,F,N,N,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1
15185,F,N,N,0,157500,Working,Higher education,Married,House / apartment,Managers,2,32,0,1,0
15206,F,N,N,0,157500,Working,Higher education,Married,House / apartment,Managers,2,32,0,1,1
15218,F,Y,N,0,135000,Working,Secondary / secondary special,Civil marriage,With parents,Sales staff,2,31,1,1,0
15223,F,Y,N,0,135000,Working,Secondary / secondary special,Civil marriage,With parents,Sales staff,2,31,1,1,1
15232,M,N,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,26,4,1,0
15284,M,N,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,26,4,1,1
15370,F,N,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,53,12,1,0
15394,F,N,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,53,12,1,1
15454,F,N,N,0,135000,Working,Higher education,Married,House / apartment,Sales staff,2,28,6,1,1
15496,F,N,N,0,135000,Working,Higher education,Married,House / apartment,Sales staff,2,28,6,1,0
15573,M,Y,N,0,292500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,37,3,1,1
15578,M,Y,N,0,292500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,37,3,1,0
15589,F,Y,N,0,270000,Commercial associate,Higher education,Married,House / apartment,Managers,2,53,20,1,1
15739,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,41,12,1,0
15756,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,41,12,1,1
15816,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,34,6,1,0
768504,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,Not identified,2,38,1,1,0
15852,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,Not identified,2,38,1,1,1
768570,F,Y,N,0,315000,Pensioner,Higher education,Married,House / apartment,Not identified,2,38,1,1,0
16066,M,Y,N,0,270000,Working,Higher education,Single / not married,House / apartment,Laborers,1,25,4,1,1
16121,M,Y,N,0,270000,Working,Higher education,Single / not married,House / apartment,Laborers,1,25,4,1,0
16169,M,N,N,0,135000,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,39,8,1,0
16186,M,N,N,0,135000,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,39,8,1,1
16371,M,Y,N,2,445500,State servant,Higher education,Married,Municipal apartment,Core staff,4,41,18,1,1
16429,F,N,N,0,198000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,0
16436,F,N,N,0,198000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,1
16572,F,Y,N,0,382500,Working,Higher education,Married,House / apartment,Not identified,2,43,10,1,1
16642,F,Y,N,0,382500,Working,Higher education,Married,House / apartment,Not identified,2,43,10,1,0
16717,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,33,8,1,0
16748,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,33,8,1,1
17071,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,41,14,1,1
17080,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,41,14,1,0
17176,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,44,1,1,0
